x xf_bbar xf_cbar xf_sbar xf_ubar xf_dbar xf_gluon xf_d xf_u xf_s xf_c xf_b
1e-05 0.0 0.0 0.358783131 0.637758 0.6379702 5.215 0.64507 0.65145 0.35877 0.0 0.0
1.0038462995594303e-05 0.0 0.0 0.35865083604604053 0.6375079321432069 0.637720737350786 5.207217619708494 0.6448291660674356 0.6512196057128363 0.3586376472241619 0.0 0.0
1.0077073931391635e-05 0.0 0.0 0.3585185591752539 0.6372578955070756 0.6374713046336656 5.199440650814457 0.6445883599947356 0.6509892415740963 0.3585053127278946 0.0 0.0
1.0115833376414294e-05 0.0 0.0 0.3583863003934094 0.6370078899295082 0.6372219017160936 5.191669114512567 0.6443475817951946 0.6507589077089522 0.3583729965122428 0.0 0.0
1.0154741901873287e-05 0.0 0.0 0.3582540597062764 0.6367579152484072 0.636972528465525 5.183903031997502 0.6441068314821068 0.6505286042425763 0.3582406985782511 0.0 0.0
1.019380008117659e-05 0.0 0.0 0.3581218371196244 0.636507971301675 0.6367231847494149 5.176142424463954 0.643866109068767 0.6502983313001411 0.3581084189269643 0.0 0.0
1.0233008489937762e-05 0.0 0.0 0.3579896326392226 0.6362580579272136 0.6364738704352181 5.168387313106589 0.6436254145684691 0.6500680890068188 0.3579761575594271 0.0 0.0
1.0272367705984257e-05 0.0 0.0 0.3578574462708405 0.6360081749629256 0.6362245853903896 5.160637719120096 0.643384747994508 0.649837877487782 0.35784391447668407 0.0 0.0
1.031187830936611e-05 0.0 0.0 0.3577252780202474 0.6357583222467132 0.6359753294823846 5.152893663699156 0.6431441093601779 0.6496076968682027 0.35771168967978006 0.0 0.0
1.0351540882364325e-05 0.0 0.0 0.3575931278932126 0.6355084996164788 0.6357261025786578 5.145155168038446 0.6429034986787733 0.6493775472732537 0.3575794831697597 0.0 0.0
1.0391356009499608e-05 0.0 0.0 0.35746099589550556 0.6352587069101245 0.6354769045466641 5.137422253332645 0.6426629159635884 0.6491474288281069 0.3574472949476676 0.0 0.0
1.043132427754083e-05 0.0 0.0 0.3573288820328957 0.6350089439655531 0.6352277352538589 5.129694940776443 0.6424223612279181 0.6489173416579351 0.3573151250145486 0.0 0.0
1.0471446275513831e-05 0.0 0.0 0.3571967863111522 0.6347592106206662 0.6349785945676966 5.121973251564507 0.6421818344850563 0.6486872858879102 0.3571829733714473 0.0 0.0
1.0511722594709938e-05 0.0 0.0 0.35706470873604457 0.6345095067133666 0.6347294823556326 5.114257206891527 0.6419413357482978 0.648457261643205 0.3570508400194084 0.0 0.0
1.0552153828694825e-05 0.0 0.0 0.35693264931334223 0.6342598320815567 0.6344803984851218 5.106546827952186 0.6417008650309369 0.6482272690489917 0.35691872495947674 0.0 0.0
1.0592740573317195e-05 0.0 0.0 0.3568006080488143 0.6340101865631383 0.6342313428236189 5.098842135941151 0.6414604223462679 0.6479973082304424 0.35678662819269674 0.0 0.0
1.0633483426717505e-05 0.0 0.0 0.3566685849482304 0.6337605699960144 0.6339823152385794 5.091143152053118 0.6412200077075856 0.64776737931273 0.35665454972011335 0.0 0.0
1.067438298933692e-05 0.0 0.0 0.3565365800173597 0.6335109822180865 0.6337333155974575 5.083449897482755 0.6409796211281839 0.6475374824210263 0.3565224895427711 0.0 0.0
1.0715439863925997e-05 0.0 0.0 0.3564045932619717 0.6332614230672576 0.6334843437677089 5.07576239342475 0.6407392626213575 0.6473076176805038 0.35639044766171474 0.0 0.0
1.0756654655553739e-05 0.0 0.0 0.3562726246878357 0.6330118923814299 0.6332353996167881 5.068080661073782 0.6404989322004008 0.6470777852163352 0.356258424077989 0.0 0.0
1.079802797161634e-05 0.0 0.0 0.35614067430072116 0.6327623899985053 0.6329864830121503 5.06040472162453 0.6402586298786083 0.6468479851536925 0.35612641879263857 0.0 0.0
1.0839560421846305e-05 0.0 0.0 0.35600874210639727 0.6325129157563865 0.6327375938212503 5.052734596271672 0.6400183556692742 0.646618217617748 0.355994431806708 0.0 0.0
1.0881252618321272e-05 0.0 0.0 0.3558768281106336 0.6322634694929758 0.6324887319115434 5.0450703062099 0.6397781095856934 0.6463884827336744 0.35586246312124226 0.0 0.0
1.0923105175473193e-05 0.0 0.0 0.3557449323191993 0.6320140510461753 0.6322398971504841 5.037411872633879 0.6395378916411597 0.6461587806266439 0.35573051273728573 0.0 0.0
1.0965118710097226e-05 0.0 0.0 0.3556130547378639 0.6317646602538876 0.6319910894055277 5.0297593167383 0.639297701848968 0.6459291114218287 0.35559858065588335 0.0 0.0
1.1007293841360974e-05 0.0 0.0 0.3554811953723968 0.6315152969540148 0.6317423085441293 5.022112659717845 0.6390575402224126 0.6456994752444015 0.3554666668780798 0.0 0.0
1.1049631190813543e-05 0.0 0.0 0.35534935422856717 0.6312659609844591 0.6314935544337433 5.014471922767182 0.6388174067747877 0.6454698722195343 0.3553347714049196 0.0 0.0
1.1092131382394637e-05 0.0 0.0 0.3552175313121445 0.6310166521831231 0.6312448269418252 5.0068371270810035 0.638577301519388 0.6452403024723997 0.35520289423744755 0.0 0.0
1.1134795042443906e-05 0.0 0.0 0.3550857266288982 0.630767370387909 0.6309961259358297 4.999208293853986 0.6383372244695078 0.64501076612817 0.35507103537670837 0.0 0.0
1.1177622799710006e-05 0.0 0.0 0.3549539401845975 0.6305181154367191 0.6307474512832119 4.99158544428081 0.6380971756384416 0.6447812633120175 0.3549391948237467 0.0 0.0
1.1220615285360031e-05 0.0 0.0 0.35482217198501187 0.6302688871674555 0.6304988028514266 4.983968599556153 0.6378571550394837 0.6445517941491145 0.35480737257960726 0.0 0.0
