x xf_bbar xf_cbar xf_sbar xf_ubar xf_dbar xf_gluon xf_d xf_u xf_s xf_c xf_b
1e-05 -6.661338147750939e-16 9.17568631310325 9.60120352025233 9.848970388093832 9.849623505739718 371.1791510814707 9.860545832331537 9.870779136308272 9.601113479428983 9.17568631310325 -4.440892098500626e-16
1.0038462995594303e-05 -6.613557284419048e-16 9.161493466454708 9.586750444690113 9.834397861442323 9.835052499602762 370.5511333324543 9.84598861423626 9.856236157532326 9.58666014771977 9.161493466454708 -4.379127934118905e-16
1.0077073931391635e-05 -6.569287555521458e-16 9.147315900534048 9.572312762965948 9.819840698014609 9.820496860007077 369.92385900175896 9.831446782856492 9.841708581757777 9.572222209160763 9.147315900534048 -4.322146925440237e-16
1.0115833376414294e-05 -6.528513089396659e-16 9.133153824187664 9.557890687090856 9.805299110887502 9.805956800035428 369.29733757535564 9.816920551255233 9.82719662199285 9.557799875761173 9.133153824187664 -4.2699064168457213e-16
1.0154741901873287e-05 -6.491217056768965e-16 9.119007443722337 9.543484426501609 9.79077331055222 9.791432530185116 368.67157842150806 9.802410129910992 9.812700488662223 9.54339335695597 9.119007443722337 -4.2223619626553088e-16
1.019380008117659e-05 -6.457381652392622e-16 9.104876962817636 9.52909418797187 9.776263504825073 9.77692425827863 368.04659078675473 9.787915726628496 9.798220389517796 9.529002859516982 9.104876962817636 -4.179467294326932e-16
1.0233008489937762e-05 -6.42698807642201e-16 9.090762582436682 9.514720175521624 9.761769898756429 9.762432189372662 367.4223837918187 9.773437546447699 9.783756529547738 9.514628587462349 9.090762582436682 -4.1411742871742885e-16
1.0272367705984257e-05 -6.400016515504873e-16 9.076664500735443 9.500362590325183 9.74729269453826 9.747956525665629 366.7989664274486 9.758975791551377 9.769309110884095 9.500270741964512 9.076664500735443 -4.1074329265976883e-16
1.031187830936611e-05 -6.376446123594287e-16 9.062582912970324 9.486021630617396 9.732832091409893 9.733497466403428 366.1763475501826 9.744530661170888 9.754878332708618 9.485929521256441 9.062582912970324 -4.0781912738207806e-16
1.0351540882364325e-05 -6.356255002476178e-16 9.04851801140429 9.47169749159842 9.718388285562277 9.719055207783713 365.5545358780444 9.730102351490505 9.740464391157124 9.471605120536381 9.04851801140429 -4.053395431127266e-16
1.0391356009499608e-05 -6.339420182008069e-16 9.034469985211215 9.45739036533665 9.703961470040449 9.704629942858364 364.9335399861592 9.715691055549907 9.726067479222017 9.457297731870815 9.034469985211214 -4.0329895065903975e-16
1.043132427754083e-05 -6.32591760006568e-16 9.020439020378697 9.443100440670142 9.689551834644435 9.690221861434383 364.31336830229856 9.701296963145122 9.71168778665329 9.443007544095849 9.020439020378697 -4.016915578289075e-16
1.0471446275513831e-05 -6.315722082193072e-16 9.006425299609097 9.428827903106173 9.675159565828322 9.675831149972982 363.6940291023445 9.68692026072764 9.697325499857666 9.428734742716802 9.006425299609097 -4.00511365800329e-16
